City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
223,Road Town,VG,82.4,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
227,Mackay,AU,77.0,scattered clouds,-21.15,149.2,International Lodge Motel
231,Saldanha,ZA,75.2,clear sky,-33.0117,17.9442,Blue Bay Lodge
234,Sarandi,BR,78.8,clear sky,-23.4436,-51.8739,HOTEL GRALHA AZUL (GAPH) - Maringá
235,Funtua,NG,83.3,scattered clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
236,Buchanan,LR,89.6,haze,5.8808,-10.0467,Kamaneahn Hotel Inc
240,Sao Domingos,BR,87.26,clear sky,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
252,Ampanihy,MG,80.71,moderate rain,-24.7,44.75,Angora Hotel
254,Carnarvon,AU,75.2,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
255,Barra Do Garcas,BR,87.8,few clouds,-15.89,-52.2567,Hotel Pousada Tropical
263,Lorengau,PG,80.56,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
264,Antofagasta,CL,75.99,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
266,El Limon,VE,81.19,overcast clouds,10.3059,-67.6321,Campamento Valle Beraca
267,Alice Springs,AU,87.8,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
272,Bilma,NE,75.27,clear sky,18.6853,12.9164,Expeditions Ténére voyages
277,Salinopolis,BR,85.57,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
279,Banda Aceh,ID,77.74,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
283,Ratnagiri,IN,76.64,scattered clouds,16.9833,73.3,Hotel Landmark
284,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
287,San Andres,CO,80.98,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
290,Ipora,BR,84.51,moderate rain,-16.4419,-51.1178,Oásis Motel
296,Hobyo,SO,77.18,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
297,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
308,Savannah Bight,HN,82.4,broken clouds,16.45,-85.85,Villa on Dunbar Rock
311,Cayenne,GF,84.2,light rain,4.9333,-52.3333,Hôtel Le Dronmi
312,Cidreira,BR,78.53,clear sky,-30.1811,-50.2056,Hotel Castelo
313,Paramirim,BR,87.13,overcast clouds,-13.4425,-42.2389,Pousada Rio Pequeno
317,Pangai,TO,81.86,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
320,Tocopilla,CL,75.18,clear sky,-22.092,-70.1979,Hotel Galvarino
322,Nabire,ID,75.92,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
327,Bandarbeyla,SO,75.16,overcast clouds,9.4942,50.8122,JABIR HOTEL
328,Alyangula,AU,78.8,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
335,Sao Jose Da Coroa Grande,BR,83.1,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
338,Conakry,GN,82.13,few clouds,9.538,-13.6773,Riviera Royal Hotel
349,Iquitos,PE,77.0,moderate rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
350,Sabang,ID,81.16,few clouds,5.8933,95.3214,Hotel Citra
351,Santa Rosa,PH,80.6,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
352,Lima,PE,75.2,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
358,Praya,CV,82.4,overcast clouds,14.9215,-23.5087,LT Aparthotel
362,Port Lincoln,AU,78.26,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
364,Presidencia Roque Saenz Pena,AR,90.0,scattered clouds,-26.7852,-60.4388,Hotel Gualok
366,Oistins,BB,84.2,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
367,Pitimbu,BR,84.2,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
373,Saint-Joseph,RE,82.4,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
374,La Romana,DO,82.4,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
376,Namibe,AO,77.13,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
377,Sao Filipe,CV,76.21,overcast clouds,14.8961,-24.4956,Tortuga B&B
381,Maragogi,BR,82.92,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
386,Nsanje,MW,79.83,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
388,Carutapera,BR,83.41,light rain,-1.195,-46.02,Lidera
390,Sao Felix Do Xingu,BR,89.96,moderate rain,-6.6447,-51.995,Rio Xingu Camping
393,Luanda,AO,84.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
398,Kruisfontein,ZA,78.01,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
400,Trairi,BR,88.72,scattered clouds,-3.2778,-39.2689,janelas do mar
401,Itarema,BR,88.84,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
402,Waingapu,ID,79.16,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
403,Sassandra,CI,84.25,broken clouds,4.95,-6.0833,la terrasse
407,Samarai,PG,82.06,light rain,-10.6167,150.6667,Nuli Sapi
408,Broken Hill,AU,86.0,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
410,Conde,BR,84.2,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
413,Kabinda,CD,76.14,light rain,-6.1333,24.4833,Village Mianda Mutole
414,Limbuhan,PH,80.26,overcast clouds,11.8838,124.0501,D'Bluewave Resort
416,Touros,BR,86.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
421,Loa Janan,ID,75.45,overcast clouds,-0.583,117.095,Pondok hijau 2A
423,Acajutla,SV,78.8,clear sky,13.5928,-89.8275,asi es
424,Miri,MY,77.0,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
426,Neiafu,TO,75.2,moderate rain,-18.65,-173.9833,Mystic Sands
427,Bosaso,SO,76.08,overcast clouds,11.2842,49.1816,Red Sea Hotel
428,Amahai,ID,84.99,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
433,Vilhena,BR,78.8,moderate rain,-12.7406,-60.1458,Hotel Mirage
437,Itupeva,BR,84.2,few clouds,-23.1531,-47.0578,Itupeva Plaza Hotel
439,Inhambane,MZ,86.0,light rain,-23.865,35.3833,Oceano
455,Vianopolis,BR,79.07,overcast clouds,-16.7419,-48.5164,Hotel Regente
456,Sorong,ID,80.29,overcast clouds,-0.8833,131.25,The Waigo Hotel
461,Cururupu,BR,81.95,moderate rain,-1.8283,-44.8683,Pousada Través'cia
462,Camacari,BR,80.6,broken clouds,-12.6975,-38.3242,Sítio Blasi
464,Sola,VU,77.0,few clouds,-13.8833,167.55,Leumerus Bungalows
469,Santa Isabel Do Rio Negro,BR,76.69,overcast clouds,-0.4139,-65.0192,Hotel GSA
472,Manzanillo,CU,82.4,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
473,Eral,IN,78.08,few clouds,8.6333,78.0167,சொக்கபழங்கரை
475,Ngaoundere,CM,83.73,broken clouds,7.3167,13.5833,Hotel Mentong Palace
477,Upata,VE,84.27,light rain,8.0086,-62.3989,Posada Villa Nela
