City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Quintin,MX,2021-01-22 01:31:31,30.4833,-115.95,59.63,79,15,0.83
68,Codrington,AU,2021-01-22 01:31:45,-38.2667,141.9667,69.96,50,89,11.56
69,Belaya Gora,RU,2021-01-22 01:39:05,68.5333,146.4167,-45.94,78,46,1.88
70,Calatayud,ES,2021-01-22 01:39:05,41.3535,-1.6432,55.4,71,90,10.36
71,Cabo Rojo,PR,2021-01-22 01:39:05,18.0866,-67.1457,75.99,97,63,1.01
72,Iqaluit,CA,2021-01-22 01:32:06,63.7506,-68.5145,30.2,74,75,19.57
73,Puerto Ayora,EC,2021-01-22 01:30:52,-0.7393,-90.3518,77.0,92,93,4.0
74,Cabrera,DO,2021-01-22 01:39:06,19.6426,-69.9049,72.0,87,30,6.85
75,Dikson,RU,2021-01-22 01:30:51,73.5069,80.5464,-26.34,82,3,5.12
76,Airai,TL,2021-01-22 01:31:14,-8.9266,125.4092,74.28,75,31,3.31
77,Haines Junction,CA,2021-01-22 01:31:41,60.7522,-137.5108,-5.8,77,8,1.14
78,Barrow,US,2021-01-22 01:31:15,71.2906,-156.7887,-0.4,78,90,29.93
79,Georgetown,MY,2021-01-22 01:27:50,5.4112,100.3354,80.01,78,20,3.44
80,Horki,BY,2021-01-22 01:39:06,54.2861,30.9842,25.23,98,74,10.18
81,Tuktoyaktuk,CA,2021-01-22 01:30:56,69.4541,-133.0374,-9.4,84,75,16.11
82,Geraldton,AU,2021-01-22 01:31:17,-28.7667,114.6,84.2,45,0,3.44
83,Talnakh,RU,2021-01-22 01:31:46,69.4865,88.3972,-40.63,77,6,2.71
84,The Pas,CA,2021-01-22 01:39:07,53.8251,-101.2541,5.0,78,90,4.61
85,Pedernales,DO,2021-01-22 01:39:07,18.0384,-71.744,75.97,71,42,3.02
86,Inhambane,MZ,2021-01-22 01:31:10,-23.865,35.3833,74.35,81,60,10.4
87,Vostok,RU,2021-01-22 01:31:19,46.4856,135.8833,1.47,84,0,4.79
88,Rivers,CA,2021-01-22 01:39:07,50.0308,-100.2403,6.8,72,75,13.8
89,Segovia,ES,2021-01-22 01:39:08,41.1667,-4.0,48.0,96,90,12.75
90,Buin,CL,2021-01-22 01:39:08,-33.7333,-70.75,69.8,64,0,11.5
91,Upernavik,GL,2021-01-22 01:30:55,72.7868,-56.1549,25.77,98,100,9.91
92,Svetlogorsk,BY,2021-01-22 01:39:08,52.6333,29.7333,33.89,92,99,10.63
